,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,response,first_response
2,stimulus/compatible/target_left,0.5517578125,,0.0,,,,0.5517578125,left
4,stimulus/compatible/target_left,0.4345703125,,0.0,,,,0.4345703125,left
6,stimulus/incompatible/target_right,,0.5087890625,,,,0.0,0.5087890625,right
8,stimulus/compatible/target_left,0.50390625,,0.0,,1.44921875,,0.50390625,left
10,stimulus/incompatible/target_left,0.54296875,,,,0.0,,0.54296875,left
12,stimulus/incompatible/target_left,0.5087890625,,,,0.0,,0.5087890625,left
14,stimulus/incompatible/target_left,0.46484375,,,,0.0,,0.46484375,left
16,stimulus/incompatible/target_left,0.5244140625,,,1.416015625,0.0,,0.5244140625,left
18,stimulus/compatible/target_right,,0.484375,,0.0,1.466796875,,0.484375,right
20,stimulus/incompatible/target_left,0.4501953125,,,,0.0,1.4326171875,0.4501953125,left
22,stimulus/incompatible/target_right,,0.4736328125,,,,0.0,0.4736328125,right
24,stimulus/compatible/target_left,0.4111328125,,0.0,1.416015625,,,0.4111328125,left
26,stimulus/compatible/target_right,,0.458984375,,0.0,,,0.458984375,right
28,stimulus/compatible/target_right,,0.4013671875,,0.0,,,0.4013671875,right
30,stimulus/incompatible/target_left,0.4609375,,,,0.0,,0.4609375,left
32,stimulus/incompatible/target_right,,0.48046875,,,,0.0,0.48046875,right
34,stimulus/compatible/target_left,0.4267578125,,0.0,,,,0.4267578125,left
36,stimulus/incompatible/target_right,,0.4453125,,1.3994140625,,0.0,0.4453125,right
38,stimulus/compatible/target_right,,0.4541015625,1.5,0.0,,,0.4541015625,right
40,stimulus/compatible/target_left,0.353515625,,0.0,,,,0.353515625,left
42,stimulus/compatible/target_right,,0.33203125,,0.0,,1.44921875,0.33203125,right
44,stimulus/incompatible/target_right,,0.4423828125,,,,0.0,0.4423828125,right
46,stimulus/incompatible/target_right,,0.5224609375,,,,0.0,0.5224609375,right
48,stimulus/incompatible/target_left,0.4267578125,,,,0.0,,0.4267578125,left
50,stimulus/incompatible/target_right,,0.412109375,,,,0.0,0.412109375,right
52,stimulus/incompatible/target_left,,0.375,,,0.0,,0.375,right
54,stimulus/incompatible/target_left,0.41015625,,,,0.0,,0.41015625,left
56,stimulus/compatible/target_right,,0.4208984375,,0.0,,,0.4208984375,right
58,stimulus/incompatible/target_left,0.4228515625,,,,0.0,1.4326171875,0.4228515625,left
60,stimulus/incompatible/target_right,,0.4697265625,,,,0.0,0.4697265625,right
62,stimulus/compatible/target_left,0.34375,,0.0,,,,0.34375,left
64,stimulus/compatible/target_right,,0.3369140625,,0.0,,,0.3369140625,right
66,stimulus/compatible/target_right,,0.443359375,1.466796875,0.0,,,0.443359375,right
68,stimulus/compatible/target_left,0.4326171875,,0.0,,,,0.4326171875,left
70,stimulus/compatible/target_left,0.400390625,,0.0,1.4990234375,,,0.400390625,left
72,stimulus/compatible/target_right,,0.3818359375,,0.0,,1.466796875,0.3818359375,right
74,stimulus/incompatible/target_right,0.275390625,,1.4326171875,,,0.0,0.275390625,left
76,stimulus/compatible/target_left,0.39453125,,0.0,,,,0.39453125,left
78,stimulus/incompatible/target_right,,0.443359375,,1.482421875,,0.0,0.443359375,right
80,stimulus/compatible/target_right,,0.392578125,,0.0,,,0.392578125,right
82,stimulus/compatible/target_right,,0.5302734375,,0.0,,,0.5302734375,right
84,stimulus/compatible/target_right,,0.3642578125,,0.0,,,0.3642578125,right
86,stimulus/compatible/target_left,0.623046875,,0.0,,,,0.623046875,left
88,stimulus/compatible/target_left,0.38671875,,0.0,,,,0.38671875,left
90,stimulus/compatible/target_left,0.3955078125,,0.0,,,,0.3955078125,left
92,stimulus/compatible/target_right,,0.2998046875,,0.0,,,0.2998046875,right
94,stimulus/compatible/target_right,,0.3955078125,,0.0,,,0.3955078125,right
96,stimulus/compatible/target_right,,0.3662109375,,0.0,1.4501953125,,0.3662109375,right
98,stimulus/incompatible/target_left,0.4765625,,,,0.0,,0.4765625,left
100,stimulus/compatible/target_left,0.3681640625,,0.0,,1.4326171875,,0.3681640625,left
102,stimulus/incompatible/target_left,0.455078125,,,,0.0,,0.455078125,left
104,stimulus/incompatible/target_left,,0.314453125,,,0.0,,0.314453125,right
106,stimulus/compatible/target_left,0.3505859375,,0.0,,,,0.3505859375,left
108,stimulus/compatible/target_right,,0.48828125,,0.0,,,0.48828125,right
110,stimulus/incompatible/target_right,0.38671875,,1.4658203125,,,0.0,0.38671875,left
112,stimulus/compatible/target_left,0.3603515625,,0.0,,1.4326171875,,0.3603515625,left
114,stimulus/incompatible/target_left,0.431640625,,,,0.0,1.466796875,0.431640625,left
116,stimulus/incompatible/target_right,,0.4130859375,,1.3994140625,,0.0,0.4130859375,right
118,stimulus/compatible/target_right,,0.3662109375,,0.0,,,0.3662109375,right
120,stimulus/compatible/target_left,0.2861328125,,0.0,,,,0.2861328125,left
122,stimulus/compatible/target_left,0.30859375,,0.0,,1.416015625,,0.30859375,left
124,stimulus/incompatible/target_left,0.4521484375,,,1.44921875,0.0,,0.4521484375,left
126,stimulus/compatible/target_right,,0.35546875,,0.0,,,0.35546875,right
128,stimulus/incompatible/target_left,0.3798828125,,,1.3994140625,0.0,,0.3798828125,left
130,stimulus/compatible/target_right,,0.404296875,,0.0,,,0.404296875,right
132,stimulus/compatible/target_right,,0.3447265625,,0.0,,1.4658203125,0.3447265625,right
134,stimulus/incompatible/target_right,0.3583984375,,,,,0.0,0.3583984375,left
136,stimulus/incompatible/target_right,,0.5,,,,0.0,0.5,right
138,stimulus/incompatible/target_right,,0.4306640625,,,,0.0,0.4306640625,right
140,stimulus/compatible/target_left,0.3603515625,,0.0,,,,0.3603515625,left
142,stimulus/incompatible/target_right,,0.5634765625,,,,0.0,0.5634765625,right
144,stimulus/incompatible/target_right,,0.47265625,,,,0.0,0.47265625,right
146,stimulus/incompatible/target_right,,0.43359375,1.466796875,,,0.0,0.43359375,right
148,stimulus/compatible/target_left,0.4462890625,,0.0,,,,0.4462890625,left
150,stimulus/incompatible/target_right,,0.43359375,,,1.43359375,0.0,0.43359375,right
152,stimulus/incompatible/target_left,0.423828125,,,,0.0,,0.423828125,left
154,stimulus/incompatible/target_left,0.4541015625,,,,0.0,,0.4541015625,left
156,stimulus/incompatible/target_left,0.4345703125,,,,0.0,,0.4345703125,left
158,stimulus/incompatible/target_right,0.3076171875,,,,,0.0,0.3076171875,left
160,stimulus/incompatible/target_left,0.6044921875,,,,0.0,,0.6044921875,left
162,stimulus/incompatible/target_right,,0.4267578125,1.44921875,,,0.0,0.4267578125,right
164,stimulus/compatible/target_left,0.4091796875,,0.0,,,,0.4091796875,left
166,stimulus/incompatible/target_right,,0.41015625,,1.416015625,,0.0,0.41015625,right
168,stimulus/compatible/target_right,,0.3544921875,,0.0,,,0.3544921875,right
170,stimulus/compatible/target_right,,0.3671875,,0.0,,1.44921875,0.3671875,right
172,stimulus/incompatible/target_right,,0.4462890625,,,,0.0,0.4462890625,right
174,stimulus/incompatible/target_right,,0.4228515625,,,1.4326171875,0.0,0.4228515625,right
176,stimulus/incompatible/target_left,,0.3583984375,,,0.0,,0.3583984375,right
178,stimulus/incompatible/target_right,,0.5146484375,,,,0.0,0.5146484375,right
180,stimulus/incompatible/target_left,,0.3251953125,,,0.0,,0.3251953125,right
182,stimulus/incompatible/target_right,,0.3271484375,,,,0.0,0.3271484375,right
184,stimulus/incompatible/target_left,0.44921875,,,,0.0,,0.44921875,left
186,stimulus/compatible/target_right,,0.5849609375,1.44921875,0.0,,,0.5849609375,right
188,stimulus/compatible/target_left,0.416015625,,0.0,,1.43359375,,0.416015625,left
190,stimulus/incompatible/target_left,0.4140625,,,,0.0,,0.4140625,left
192,stimulus/incompatible/target_right,,0.3857421875,,,1.5,0.0,0.3857421875,right
194,stimulus/incompatible/target_left,0.486328125,,,,0.0,,0.486328125,left
196,stimulus/compatible/target_left,0.41796875,,0.0,,,,0.41796875,left
198,stimulus/incompatible/target_left,,0.4921875,,,0.0,,0.4921875,right
200,stimulus/incompatible/target_left,0.509765625,,1.4326171875,,0.0,,0.509765625,left
202,stimulus/compatible/target_left,0.3564453125,,0.0,,,,0.3564453125,left
204,stimulus/incompatible/target_right,0.3115234375,,,,,0.0,0.3115234375,left
206,stimulus/incompatible/target_left,0.4248046875,,,,0.0,,0.4248046875,left
208,stimulus/incompatible/target_right,,0.42578125,,,,0.0,0.42578125,right
210,stimulus/incompatible/target_left,0.25,,,1.482421875,0.0,,0.25,left
212,stimulus/compatible/target_right,,0.375,,0.0,,,0.375,right
214,stimulus/compatible/target_right,,0.36328125,,0.0,,1.416015625,0.36328125,right
216,stimulus/incompatible/target_right,,0.443359375,1.4326171875,,,0.0,0.443359375,right
218,stimulus/compatible/target_left,0.3623046875,,0.0,,,,0.3623046875,left
220,stimulus/compatible/target_left,0.3115234375,,0.0,,,,0.3115234375,left
222,stimulus/incompatible/target_left,,0.3759765625,,,0.0,,0.3759765625,right
224,stimulus/compatible/target_right,,0.3388671875,,0.0,,,0.3388671875,right
226,stimulus/compatible/target_left,0.421875,,0.0,1.4501953125,,,0.421875,left
228,stimulus/compatible/target_right,,0.4033203125,,0.0,,,0.4033203125,right
230,stimulus/compatible/target_right,,0.34765625,,0.0,,,0.34765625,right
232,stimulus/compatible/target_left,0.3994140625,,0.0,1.416015625,,,0.3994140625,left
234,stimulus/compatible/target_right,,0.359375,,0.0,,,0.359375,right
236,stimulus/compatible/target_right,,0.3330078125,,0.0,,,0.3330078125,right
238,stimulus/compatible/target_left,0.2802734375,,0.0,,,,0.2802734375,left
240,stimulus/compatible/target_left,0.2763671875,,0.0,,,,0.2763671875,left
242,stimulus/incompatible/target_right,,0.4619140625,1.4169921875,,,0.0,0.4619140625,right
244,stimulus/compatible/target_left,0.3408203125,,0.0,,,,0.3408203125,left
246,stimulus/compatible/target_right,,0.318359375,,0.0,,,0.318359375,right
248,stimulus/compatible/target_right,,0.404296875,,0.0,,,0.404296875,right
250,stimulus/compatible/target_right,,0.37109375,,0.0,,,0.37109375,right
252,stimulus/incompatible/target_left,0.373046875,,,,0.0,,0.373046875,left
254,stimulus/incompatible/target_left,0.419921875,,1.4990234375,,0.0,,0.419921875,left
256,stimulus/compatible/target_left,0.2724609375,,0.0,,1.4501953125,,0.2724609375,left
258,stimulus/incompatible/target_left,0.2861328125,,,,0.0,,0.2861328125,left
260,stimulus/incompatible/target_left,0.4560546875,,,,0.0,,0.4560546875,left
262,stimulus/compatible/target_right,,0.345703125,,0.0,,,0.345703125,right
264,stimulus/compatible/target_left,0.2763671875,,0.0,,,,0.2763671875,left
266,stimulus/incompatible/target_left,0.439453125,,,,0.0,,0.439453125,left
268,stimulus/incompatible/target_left,0.37109375,,,1.4658203125,0.0,,0.37109375,left
270,stimulus/compatible/target_right,,0.3291015625,,0.0,1.44921875,,0.3291015625,right
272,stimulus/incompatible/target_left,,0.3359375,,,0.0,,0.3359375,right
274,stimulus/incompatible/target_left,0.396484375,,,,0.0,1.4990234375,0.396484375,left
276,stimulus/incompatible/target_right,,0.41796875,,,,0.0,0.41796875,right
278,stimulus/incompatible/target_right,0.2060546875,,,,,0.0,0.2060546875,left
280,stimulus/incompatible/target_right,,0.4853515625,,1.4990234375,,0.0,0.4853515625,right
282,stimulus/compatible/target_right,,0.3701171875,,0.0,,1.466796875,0.3701171875,right
284,stimulus/incompatible/target_right,,0.462890625,,,,0.0,0.462890625,right
286,stimulus/compatible/target_left,0.3544921875,,0.0,,,,0.3544921875,left
288,stimulus/compatible/target_left,0.361328125,,0.0,,,,0.361328125,left
290,stimulus/compatible/target_left,0.31640625,,0.0,1.4990234375,,,0.31640625,left
292,stimulus/compatible/target_right,0.296875,,,0.0,,,0.296875,left
294,stimulus/compatible/target_left,0.3798828125,,0.0,,,,0.3798828125,left
296,stimulus/incompatible/target_right,0.3173828125,,,1.4326171875,,0.0,0.3173828125,left
298,stimulus/compatible/target_right,,0.380859375,,0.0,1.4990234375,,0.380859375,right
300,stimulus/incompatible/target_left,0.3857421875,,,,0.0,1.466796875,0.3857421875,left
302,stimulus/incompatible/target_right,0.302734375,,,,,0.0,0.302734375,left
304,stimulus/incompatible/target_right,,0.37109375,1.4501953125,,,0.0,0.37109375,right
306,stimulus/compatible/target_left,0.3681640625,,0.0,,,,0.3681640625,left
308,stimulus/compatible/target_right,,0.3623046875,,0.0,,1.466796875,0.3623046875,right
310,stimulus/incompatible/target_right,,0.2958984375,,,,0.0,0.2958984375,right
312,stimulus/incompatible/target_right,0.353515625,,,,1.4833984375,0.0,0.353515625,left
314,stimulus/incompatible/target_left,0.4462890625,,,,0.0,,0.4462890625,left
316,stimulus/compatible/target_left,0.4169921875,,0.0,1.4169921875,,,0.4169921875,left
318,stimulus/compatible/target_right,,0.3759765625,,0.0,,,0.3759765625,right
320,stimulus/compatible/target_left,0.3408203125,,0.0,,,,0.3408203125,left
322,stimulus/incompatible/target_right,,0.47265625,,,1.44921875,0.0,0.47265625,right
324,stimulus/incompatible/target_left,0.416015625,,,,0.0,,0.416015625,left
326,stimulus/compatible/target_left,0.3056640625,,0.0,,,,0.3056640625,left
328,stimulus/compatible/target_left,0.3271484375,,0.0,,,,0.3271484375,left
330,stimulus/compatible/target_left,0.314453125,,0.0,,,1.44921875,0.314453125,left
332,stimulus/incompatible/target_right,0.3046875,,,,1.416015625,0.0,0.3046875,left
334,stimulus/incompatible/target_left,0.3603515625,,,,0.0,1.43359375,0.3603515625,left
336,stimulus/incompatible/target_right,,0.431640625,,,1.482421875,0.0,0.431640625,right
338,stimulus/incompatible/target_left,0.3642578125,,,,0.0,1.44921875,0.3642578125,left
340,stimulus/incompatible/target_right,,0.458984375,,,,0.0,0.458984375,right
342,stimulus/incompatible/target_right,0.3203125,,,,,0.0,0.3203125,left
344,stimulus/compatible/target_left,0.38671875,,0.0,1.4501953125,,,0.38671875,left
346,stimulus/compatible/target_right,,0.3447265625,,0.0,1.482421875,,0.3447265625,right
348,stimulus/incompatible/target_left,,0.349609375,,,0.0,,0.349609375,right
350,stimulus/compatible/target_left,0.3603515625,,0.0,,,,0.3603515625,left
352,stimulus/compatible/target_left,0.3759765625,,0.0,,,,0.3759765625,left
354,stimulus/incompatible/target_right,0.38671875,,,,,0.0,0.38671875,left
356,stimulus/compatible/target_left,0.349609375,,0.0,,,,0.349609375,left
358,stimulus/compatible/target_right,,0.3173828125,,0.0,1.416015625,,0.3173828125,right
360,stimulus/incompatible/target_left,,0.28515625,,,0.0,,0.28515625,right
362,stimulus/incompatible/target_left,0.466796875,,,1.5,0.0,,0.466796875,left
364,stimulus/compatible/target_right,,0.3828125,,0.0,,,0.3828125,right
366,stimulus/compatible/target_right,,0.41015625,1.4501953125,0.0,,,0.41015625,right
368,stimulus/compatible/target_left,0.3681640625,,0.0,,,,0.3681640625,left
370,stimulus/incompatible/target_right,,0.412109375,,1.466796875,,0.0,0.412109375,right
372,stimulus/compatible/target_right,,0.4013671875,,0.0,,,0.4013671875,right
374,stimulus/compatible/target_right,,0.47265625,,0.0,1.4990234375,,0.47265625,right
376,stimulus/incompatible/target_left,0.4052734375,,,,0.0,,0.4052734375,left
378,stimulus/incompatible/target_left,,0.3818359375,,1.4658203125,0.0,,0.3818359375,right
380,stimulus/compatible/target_right,,0.3876953125,,0.0,,,0.3876953125,right
382,stimulus/compatible/target_left,0.3916015625,,0.0,,,,0.3916015625,left
384,stimulus/compatible/target_left,0.4677734375,,0.0,1.4169921875,,,0.4677734375,left
386,stimulus/compatible/target_right,,0.443359375,,0.0,,,0.443359375,right
388,stimulus/compatible/target_right,,0.375,,0.0,,1.3994140625,0.375,right
390,stimulus/incompatible/target_right,,0.455078125,,,,0.0,0.455078125,right
392,stimulus/compatible/target_right,,0.322265625,,0.0,,,0.322265625,right
394,stimulus/incompatible/target_left,,0.3544921875,,,0.0,1.44921875,0.3544921875,right
396,stimulus/incompatible/target_right,,0.4169921875,,,1.416015625,0.0,0.4169921875,right
398,stimulus/incompatible/target_left,0.552734375,,,,0.0,1.44921875,0.552734375,left
